,CO_IES,CO_CATEGORIA_ADMINISTRATIVA,CO_ORGANIZACAO_ACADEMICA,CO_CURSO,CO_TURNO_ALUNO,CO_GRAU_ACADEMICO,CO_OCDE,CO_ALUNO_CURSO,CO_ALUNO_CURSO_ORIGEM,Cor,Sexo,NU_ANO_ALUNO_NASC,NU_MES_ALUNO_NASC,NU_DIA_ALUNO_NASC,Idade,CO_NACIONALIDADE_ALUNO,CO_PAIS_ORIGEM_ALUNO,UF,CO_MUNICIPIO_NASCIMENTO,IN_ALUNO_DEF_TGD_SUPER,IN_DEF_AUDITIVA,IN_DEF_FISICA,IN_DEF_INTELECTUAL,IN_DEF_MULTIPLA,IN_DEF_SURDEZ,IN_DEF_SURDOCEGUEIRA,IN_DEF_BAIXA_VISAO,IN_DEF_CEGUEIRA,IN_DEF_SUPERDOTACAO,IN_TGD_AUTISMO_INFANTIL,IN_TGD_SINDROME_ASPERGER,IN_TGD_SINDROME_RETT,IN_TGD_TRANSTOR_DESINTEGRATIVO,Situacao,QT_CARGA_HORARIA_TOTAL,QT_CARGA_HORARIA_INTEG,IN_ING_VESTIBULAR,IN_ING_ENEM,IN_ING_AVALIACAO_SERIADA,IN_ING_SELECAO_SIMPLIFICADA,IN_ING_SELECAO_VAGA_REMANESC,IN_ING_SELECAO_VAGA_PROG_ESPEC,IN_ING_TRANSF_EXOFFICIO,IN_ING_DECISAO_JUDICIAL,IN_ING_CONVENIO_PECG,IN_RESERVA_VAGAS,IN_RESERVA_ETNICO,IN_RESERVA_DEFICIENCIA,IN_RESERVA_ENSINO_PUBLICO,IN_RESERVA_RENDA_FAMILIAR,IN_RESERVA_OUTRA,IN_APOIO_SOCIAL,IN_APOIO_ALIMENTACAO,IN_APOIO_BOLSA_PERMANENCIA,IN_APOIO_BOLSA_TRABALHO,IN_APOIO_MATERIAL_DIDATICO,IN_APOIO_MORADIA,IN_APOIO_TRANSPORTE,IN_ATIVIDADE_EXTRACURRICULAR,IN_COMPL_ESTAGIO,IN_COMPL_EXTENSAO,IN_COMPL_MONITORIA,IN_COMPL_PESQUISA,IN_BOLSA_ESTAGIO,IN_BOLSA_EXTENSAO,IN_BOLSA_MONITORIA,IN_BOLSA_PESQUISA,CO_TIPO_ESCOLA_ENS_MEDIO,IN_ALUNO_PARFOR,CO_SEMESTRE_CONCLUSAO,CO_SEMESTRE_REFERENCIA,IN_MOBILIDADE_ACADEMICA,CO_MOBILIDADE_ACADEMICA,CO_MOBILIDADE_ACADEMICA_INTERN,CO_IES_DESTINO,CO_PAIS_DESTINO,IN_MATRICULA,IN_CONCLUINTE,IN_INGRESSO_TOTAL,ANO_INGRESSO,ANO_RELATORIO
10,2,1,1,146,4,1,322B01,20713706,,Nao quis declarar,nao declarado,1986,8,13,29,1,10,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cursando,2700,1260,1,0,0,0,0,0,0,0,0.0,0,,,,,,0,,,,,,,1,1.0,0.0,0.0,0.0,1.0,,,,0,,,2,0.0,,,,,1,0,0,2014,2015
11,2,1,1,146,4,1,322B01,14130888,,Parda,nao declarado,1988,9,29,27,1,10,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Desvinculado,2700,300,0,1,0,0,0,0,0,0,0.0,0,,,,,,0,,,,,,,0,,,,,,,,,1,,,1,,,,,,0,0,0,2014,2015
12,2,1,1,146,4,1,322B01,14384825,,Preta,feminino,1988,5,5,27,1,10,Distrito Federal,5300108.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cursando,2700,270,1,0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,0,,,,,,,0,,,,,,,,,1,,,2,0.0,,,,,1,0,1,2015,2015
13,2,1,1,146,4,1,322B01,16522330,,Branca,nao declarado,1986,1,18,29,1,10,Distrito Federal,5300108.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cursando,2700,2640,0,0,0,0,1,0,0,0,,0,,,,,,0,,,,,,,0,,,,,,,,,0,,,2,0.0,,,,,1,0,1,2015,2015
14,2,1,1,146,4,1,322B01,12644428,,Nao quis declarar,nao declarado,1986,12,29,29,1,10,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Formado,2700,2730,1,0,0,0,0,0,0,0,0.0,0,,,,,,0,,,,,,,0,,,,,,,,,1,,,1,,,,,,1,1,0,2008,2015
15,2,1,1,146,4,1,322B01,14220546,,Nao quis declarar,nao declarado,1969,7,7,46,1,10,Bahia,2927408.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trancado,2700,1290,1,0,0,0,0,0,0,0,0.0,0,,,,,,0,,,,,,,0,,,,,,,,,0,,,2,,,,,,0,0,0,2014,2015
16,2,1,1,146,4,1,322B01,9487505,,Nao quis declarar,feminino,1991,3,13,24,1,10,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Formado,2700,2700,1,0,0,0,0,0,0,0,0.0,0,,,,,,0,,,,,,,0,,,,,,,,,0,,,1,,,,,,1,1,0,2010,2015
17,2,1,1,146,4,1,322B01,20568680,,Parda,feminino,1980,1,17,35,1,10,Distrito Federal,5300108.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cursando,2700,2490,0,0,0,0,1,0,0,0,0.0,0,,,,,,0,,,,,,,0,,,,,,,,,1,,,2,0.0,,,,,1,0,0,2013,2015
18,2,1,1,146,4,1,322B01,14248384,,Preta,feminino,1984,4,15,31,1,10,Distrito Federal,5300108.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cursando,2700,1140,0,1,0,0,0,0,0,0,0.0,1,1.0,0.0,1.0,0.0,0.0,0,,,,,,,0,,,,,,,,,1,,,2,0.0,,,,,1,0,1,2015,2015
19,2,1,1,146,4,1,322B01,12631517,,Parda,nao declarado,1988,4,5,27,1,10,Distrito Federal,5300108.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Desvinculado,2700,1380,1,0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,0,,,,,,,0,,,,,,,,,0,,,1,,,,,,0,0,0,2012,2015
20,2,1,1,146,4,1,322B01,9487570,,Preta,feminino,1989,7,13,26,1,10,Bahia,2911105.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Formado,2700,2700,1,0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,0,,,,,,,0,,,,,,,,,1,,,1,,,,,,1,1,0,2008,2015
21,2,1,1,146,4,1,322B01,12631848,,Parda,nao declarado,1988,12,13,27,1,10,Distrito Federal,5300108.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Formado,2700,2700,1,0,0,0,0,0,0,0,0.0,0,,,,,,0,,,,,,,0,,,,,,,,,1,,,1,,,,,,1,1,0,2008,2015
22,2,1,1,146,4,1,322B01,22591623,,Branca,feminino,1988,3,11,27,1,10,Minas Gerais,3136702.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cursando,2700,2280,0,0,0,0,1,0,0,0,0.0,0,,,,,,0,,,,,,,0,,,,,,,,,0,,,2,0.0,,,,,1,0,0,2012,2015
23,2,1,1,146,4,1,322B01,12631879,,Nao quis declarar,feminino,1980,11,16,35,1,10,Distrito Federal,5300108.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Formado,2700,2730,0,0,0,0,0,0,1,0,0.0,0,,,,,,0,,,,,,,0,,,,,,,,,1,,,1,,,,,,1,1,0,2008,2015
24,2,1,1,146,4,1,322B01,12691945,,Preta,feminino,1988,7,30,27,1,10,Distrito Federal,5300108.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cursando,2700,2640,1,0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,0,,,,,,,0,,,,,,,,,0,,,2,0.0,,,,,1,0,0,2010,2015
25,2,1,1,146,4,1,322B01,12632024,,Parda,nao declarado,1989,12,14,26,1,10,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cursando,2700,2220,1,0,0,0,0,0,0,0,0.0,0,,,,,,0,,,,,,,0,,,,,,,,,0,,,2,0.0,,,,,1,0,0,2008,2015
26,2,1,1,146,4,1,322B01,12644379,,Parda,feminino,1963,4,24,52,1,10,São Paulo,3550308.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trancado,2700,2190,1,0,0,0,0,0,0,0,0.0,0,,,,,,0,,,,,,,0,,,,,,,,,0,,,2,,,,,,0,0,0,2008,2015
27,2,1,1,146,4,1,322B01,14248670,,Preta,feminino,1990,12,8,25,1,10,Distrito Federal,5300108.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cursando,2700,930,0,1,0,0,0,0,0,0,0.0,0,,,,,,0,,,,,,,0,,,,,,,,,0,,,2,0.0,,,,,1,0,1,2015,2015
28,2,1,1,146,4,1,322B01,13170442,,Preta,feminino,1989,4,20,26,1,10,Distrito Federal,5300108.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Formado,2700,2700,1,0,0,0,0,0,0,0,0.0,0,,,,,,0,,,,,,,0,,,,,,,,,1,,,2,,,,,,1,1,0,2011,2015
29,2,1,1,146,4,1,322B01,13797951,,Branca,nao declarado,1992,3,1,23,1,10,Distrito Federal,5300108.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Desvinculado,2700,2250,1,0,0,0,0,0,0,0,0.0,1,0.0,0.0,1.0,0.0,0.0,0,,,,,,,0,,,,,,,,,1,,,1,,,,,,0,0,0,2013,2015
30,2,1,1,146,4,1,322B01,12651675,,Branca,nao declarado,1989,9,8,26,1,10,Rio de Janeiro,3304557.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Desvinculado,2700,2580,1,0,0,0,0,0,0,0,0.0,0,,,,,,0,,,,,,,0,,,,,,,,,0,,,1,,,,,,0,0,0,2009,2015
31,2,1,1,146,4,1,322B01,15579381,,Preta,feminino,1988,4,18,27,1,10,São Paulo,3550308.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Formado,2700,2700,1,0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,0,,,,,,,0,,,,,,,,,1,,,2,,,,,,1,1,0,2009,2015
32,2,1,1,146,4,1,322B01,12651751,,Parda,nao declarado,1986,9,9,29,1,10,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trancado,2700,1800,1,0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,0,,,,,,,0,,,,,,,,,1,,,2,,,,,,0,0,0,2009,2015
33,2,1,1,146,4,1,322B01,20410545,,Amarela,feminino,1984,12,10,31,1,10,Distrito Federal,5300108.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trancado,2700,2700,1,0,0,0,0,0,0,0,0.0,0,,,,,,0,,,,,,,0,,,,,,,,,0,,,2,,,,,,0,0,0,2009,2015
34,2,1,1,146,4,1,322B01,12642849,,Branca,feminino,1989,5,26,26,1,10,Distrito Federal,5300108.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Desvinculado,2700,2400,1,0,0,0,0,0,0,0,0.0,0,,,,,,0,,,,,,,0,,,,,,,,,0,,,2,,,,,,0,0,0,2009,2015
35,2,1,1,146,4,1,322B01,12643228,,Preta,feminino,1977,12,23,38,1,10,Distrito Federal,5300108.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cursando,2700,2340,1,0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,0,,,,,,,0,,,,,,,,,1,,,2,0.0,,,,,1,0,0,2009,2015
36,2,1,1,146,4,1,322B01,12643575,,Branca,nao declarado,1989,11,30,26,1,10,Distrito Federal,5300108.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cursando,2700,2760,1,0,0,0,0,0,0,0,0.0,0,,,,,,0,,,,,,,0,,,,,,,,,0,,,2,0.0,,,,,1,0,0,2009,2015
37,2,1,1,146,4,1,322B01,15734736,,Parda,nao declarado,1990,5,14,25,1,10,Distrito Federal,5300108.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cursando,2700,2700,1,0,0,0,0,0,0,0,0.0,0,,,,,,0,,,,,,,0,,,,,,,,,1,,,2,0.0,,,,,1,0,0,2009,2015
38,2,1,1,146,4,1,322B01,14219365,,Nao quis declarar,feminino,1990,3,11,25,1,10,Distrito Federal,5300108.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cursando,2700,1440,1,0,0,0,0,0,0,0,0.0,0,,,,,,0,,,,,,,0,,,,,,,,,0,,,2,0.0,,,,,1,0,0,2014,2015
39,2,1,1,146,4,1,322B01,14216047,,Branca,nao declarado,1982,7,29,33,1,10,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Desvinculado,2700,180,1,0,0,0,0,0,0,0,0.0,0,,,,,,0,,,,,,,0,,,,,,,,,0,,,2,,,,,,0,0,0,2014,2015
40,2,1,1,146,4,1,322B01,14131045,,Branca,nao declarado,1970,6,11,45,1,10,Ceará,2304103.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Desvinculado,2700,270,0,1,0,0,0,0,0,0,0.0,0,,,,,,0,,,,,,,0,,,,,,,,,1,,,1,,,,,,0,0,0,2014,2015
41,2,1,1,146,4,1,322B01,13705104,,Branca,nao declarado,1991,4,15,24,1,10,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cursando,2700,2055,1,0,0,0,0,0,0,0,0.0,0,,,,,,0,,,,,,,0,,,,,,,,,0,,,2,0.0,,,,,1,0,0,2012,2015
42,2,1,1,146,4,1,322B01,13213934,,Branca,nao declarado,1989,7,23,26,1,10,Goiás,5208707.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cursando,2700,2640,1,0,0,0,0,0,0,0,0.0,0,,,,,,0,,,,,,,0,,,,,,,,,0,,,2,0.0,,,,,1,0,0,2011,2015
43,2,1,1,146,4,1,322B01,20505767,,Parda,feminino,1982,8,2,33,1,10,Pará,1507607.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cursando,2700,1110,1,0,0,0,0,0,0,0,0.0,0,,,,,,0,,,,,,,1,1.0,0.0,0.0,0.0,1.0,,,,0,,,2,0.0,,,,,1,0,0,2013,2015
